Location,Bed,Bath,To-let From,Rent,Title,Region
"Badda, Dhaka",1,1,October Rent ,8000,"Bachelor Room Rent Badda, Dhaka",Dhaka
"Azimpur, Lalbag",1,1,September Rent ,3000,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Moghbazar, Ramna",1,1,October Rent ,2700,"Bachelor Seat Rent Moghbazar, Ramna",Dhaka
"Zigatola, Dhanmondi",1,1,October Rent ,14500,"Family Flat Rent Zigatola, Dhanmondi",Dhaka
"Moghbazar, Ramna",1,1,October Rent ,2700,"Bachelor Seat Rent Moghbazar, Ramna",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,5500,"Bachelor Room Rent Nikunja 2, Khilkhet",Dhaka
"Kuril, Vatara",1,1,September Rent ,3000,"Bachelor Seat Rent Kuril, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,October Rent ,14000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,October Rent ,6200,"Bachelor Seat Rent Bashundhara R.A, Vatara",Dhaka
"Dhanmondi 15, Dhanmondi",N/A,1,October Rent ,9000,"Sublet Room Rent Dhanmondi 15, Dhanmondi Room: 1, Bath: 1 To-let from:
                                October Rent : 9000 BDT Save Property Add to Compare",Dhaka
"Kalabagan, Dhaka",N/A,1,October Rent ,15000,"Sublet Room Rent Kalabagan, Dhaka Room: 1, Bath: 1 To-let from:
                                October Rent : 15000 BDT Save Property Add to Compare",Dhaka
"Mohammadpur, Dhaka",1,1,September Rent ,2300,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka
"Dhanmondi 15, Dhanmondi",1,1,October Rent ,2200,"Bachelor Seat Rent Dhanmondi 15, Dhanmondi",Dhaka
"Azimpur, Lalbag",1,1,October Rent ,3300,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Sector 12, Uttara",1,1,October Rent ,4500,"Bachelor Seat Rent Sector 12, Uttara",Dhaka
"Sector 11, Uttara",1,1,September Rent ,15000,"Bachelor Room Rent Sector 11, Uttara",Dhaka
"Mirpur 1, Mirpur",1,1,October Rent ,7500,"Bachelor Room Rent Mirpur 1, Mirpur",Dhaka
"Azampur, Uttara",2,2,September Rent ,9000,"Family Flat Rent Azampur, Uttara",Dhaka
"Sector 10, Uttara",1,1,October Rent ,2000,"Bachelor Seat Rent Sector 10, Uttara",Dhaka
"Sector 14, Uttara",1,1,September Rent ,2500,"Bachelor Seat Rent Sector 14, Uttara",Dhaka
"Sector 13, Uttara",1,1,October Rent ,3300,"Bachelor Seat Rent Sector 13, Uttara",Dhaka
"Panthapath, Kalabagan",1,1,October Rent ,3260,"Bachelor Seat Rent Panthapath, Kalabagan",Dhaka
"Bashundhara R.A, Vatara",1,1,September Rent ,3750,"Bachelor Seat Rent Bashundhara R.A, Vatara",Dhaka
"Mirpur 10, Mirpur",3,3,November Rent ,25000,"Family Flat Rent Mirpur 10, Mirpur",Dhaka
"East Shewrapara, Mirpur",N/A,1,October Rent ,7500,"Sublet Room Rent East Shewrapara, Mirpur Room: 1, Bath: 1 To-let from:
                                October Rent : 7500 BDT Save Property Add to Compare",Dhaka
"Mirpur, Dhaka",1,1,October Rent ,2500,"Bachelor Seat Rent Mirpur, Dhaka",Dhaka
"West Rampura, Rampura",1,1,October Rent ,1500,"Bachelor Seat Rent West Rampura, Rampura",Dhaka
"Rampura, Dhaka",N/A,1,October Rent ,2200,"Sublet Seat Rent Rampura, Dhaka Seat: 1, Bath: 1 To-let from:
                                October Rent : 2200 BDT Save Property Add to Compare",Dhaka
"Banasree, Rampura",N/A,1,October Rent ,5000,"Sublet Room Rent Banasree, Rampura Room: 1, Bath: 1 To-let from:
                                October Rent : 5000 BDT Save Property Add to Compare",Dhaka
"Savar, Dhaka",3,2,October Rent ,5500,"Family Unit Rent Savar, Dhaka",Dhaka
"Naya Paltan, Paltan",1,1,November Rent ,2715,"Bachelor Seat Rent Naya Paltan, Paltan",Dhaka
"Manda, Mugda",1,1,September Rent ,5700,"Family Flat Rent Manda, Mugda",Dhaka
"Arambag, Motijheel",1,1,October Rent ,3250,"Bachelor Seat Rent Arambag, Motijheel",Dhaka
"Maniknagar, Mugda",3,2,October Rent ,16000,"Family Flat Rent Maniknagar, Mugda",Dhaka
"Uttara, Dhaka",3,3,October Rent ,19000,"Family Flat Rent Uttara, Dhaka",Dhaka
"Gandaria, Dhaka",3,2,October Rent ,25000,"Family House Rent Gandaria, Dhaka",Dhaka
"Malibag, Shahjahanpur",1,1,September Rent ,2600,"Bachelor Seat Rent Malibag, Shahjahanpur",Dhaka
"Bashundhara R.A, Vatara",3,3,September Rent ,27000,"Family Flat Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",3,3,October Rent ,22000,"Family Flat Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,October Rent ,8000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,September Rent ,4700,"Bachelor Seat Rent Bashundhara R.A, Vatara",Dhaka
"Manda, Mugda",1,1,September Rent ,7000,"Family Flat Rent Manda, Mugda",Dhaka
"Mohakhali, Gulshan",1,1,October Rent ,3200,"Bachelor Seat Rent Mohakhali, Gulshan",Dhaka
"Komlapur, Motijheel",1,1,September Rent ,3000,"Bachelor Seat Rent Komlapur, Motijheel",Dhaka
"Motijheel, Dhaka",1,1,September Rent ,8500,"Bachelor Room Rent Motijheel, Dhaka",Dhaka
"Komlapur, Motijheel",1,1,September Rent ,3800,"Bachelor Seat Rent Komlapur, Motijheel",Dhaka
"Amligola, Lalbag",N/A,1,November Rent ,6500,"Sublet Room Rent Amligola, Lalbag Room: 1, Bath: 1 To-let from:
                                November Rent : 6500 BDT Save Property Add to Compare",Dhaka
"Mirpur 13, Mirpur",1,1,October Rent ,2900,"Bachelor Seat Rent Mirpur 13, Mirpur",Dhaka
"60 Feet Road, Mirpur",N/A,1,October Rent ,7000,"Sublet Room Rent 60 Feet Road, Mirpur Room: 1, Bath: 1 To-let from:
                                October Rent : 7000 BDT Save Property Add to Compare",Dhaka
"Badda, Dhaka",N/A,1,October Rent ,11000,"Sublet Room Rent Badda, Dhaka Room: 1, Bath: 1 To-let from:
                                October Rent : 11000 BDT Save Property Add to Compare",Dhaka
"Chandrima Model Town, Mohammadpur",3,3,October Rent ,14000,"Family Flat Rent Chandrima Model Town, Mohammadpur",Dhaka
"Bosila, Mohammadpur",1,1,October Rent ,6200,"Bachelor Room Rent Bosila, Mohammadpur",Dhaka
"Mohammadpur, Dhaka",1,1,October Rent ,2500,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka
"Mohammadpur, Dhaka",1,1,September Rent ,3800,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka
"Mohammadpur, Dhaka",1,1,October Rent ,3500,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka
"Future Town Housing, Mohammadpur",N/A,1,September Rent ,6000,"Sublet Room Rent Future Town Housing, Mohammadpur Room: 1, Bath: 1 To-let from:
                                September Rent : 6000 BDT Save Property Add to Compare",Dhaka
"Mohammadpur, Dhaka",1,1,October Rent ,3700,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka
"Mohammadpur, Dhaka",1,1,September Rent ,3400,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka
"Dhaka Housing, Adabor",2,2,October Rent ,17000,"Family Flat Rent Dhaka Housing, Adabor",Dhaka
"Nabi Nagar Housing, Mohammadpur",1,1,September Rent ,2800,"Bachelor Seat Rent Nabi Nagar Housing, Mohammadpur",Dhaka
"Mohammadpur, Dhaka",1,1,September Rent ,7500,"Bachelor Room Rent Mohammadpur, Dhaka",Dhaka
"Bosila, Mohammadpur",N/A,1,October Rent ,6500,"Sublet Room Rent Bosila, Mohammadpur Room: 1, Bath: 1 To-let from:
                                October Rent : 6500 BDT Save Property Add to Compare",Dhaka
"Dhaka Housing, Adabor",3,4,September Rent ,26000,"Family House Rent Dhaka Housing, Adabor",Dhaka
"Mohammadpur, Dhaka",1,1,September Rent ,2500,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka
"Noboudoy Housing, Mohammadpur",1,1,October Rent ,6000,"Bachelor Room Rent Noboudoy Housing, Mohammadpur",Dhaka
"Faydabad, Daskhinkhan",1,1,September Rent ,3000,"Bachelor Seat Rent Faydabad, Daskhinkhan",Dhaka
"Middle Badda, Badda",1,1,October Rent ,2600,"Bachelor Seat Rent Middle Badda, Badda",Dhaka
"Keraniganj, Dhaka",N/A,1,September Rent ,4500,"Sublet Room Rent Keraniganj, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 4500 BDT Save Property Add to Compare",Dhaka
"Mohammadpur, Dhaka",2,2,September Rent ,12000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka
"Pallabi, Dhaka",1,1,October Rent ,3500,"Bachelor Seat Rent Pallabi, Dhaka",Dhaka
"Mohammadpur, Dhaka",2,2,September Rent ,15000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka
"Mohammadpur, Dhaka",2,2,October Rent ,27000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka
"Khilkhet, Dhaka",1,1,October Rent ,4000,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka
"Mugda, Dhaka",2,1,October Rent ,8500,"Family Flat Rent Mugda, Dhaka",Dhaka
"Pallabi, Dhaka",1,1,September Rent ,10500,"Bachelor Room Rent Pallabi, Dhaka",Dhaka
"Dhanmondi, Dhaka",1,1,October Rent ,3000,"Bachelor Seat Rent Dhanmondi, Dhaka",Dhaka
"Dhanmondi, Dhaka",1,1,October Rent ,9000,"Bachelor Room Rent Dhanmondi, Dhaka",Dhaka
"Sector 11, Uttara",1,1,October Rent ,9000,"Bachelor Seat Rent Sector 11, Uttara",Dhaka
"Mugda, Dhaka",2,2,September Rent ,9000,"Family Flat Rent Mugda, Dhaka",Dhaka
"Badda, Dhaka",1,1,October Rent ,6000,"Bachelor Seat Rent Badda, Dhaka",Dhaka
"Shewrapara, Mirpur",1,1,October Rent ,6000,"Bachelor Room Rent Shewrapara, Mirpur",Dhaka
"Mohammadpur, Dhaka",3,3,October Rent ,13000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka
"Lalbag, Dhaka",1,1,October Rent ,2400,"Bachelor Seat Rent Lalbag, Dhaka",Dhaka
"East Rampura, Rampura",1,1,September Rent ,6500,"Bachelor Room Rent East Rampura, Rampura",Dhaka
"Banasree, Rampura",1,1,September Rent ,2350,"Bachelor Seat Rent Banasree, Rampura",Dhaka
"Shahjadpur, Gulshan",N/A,1,November Rent ,8500,"Sublet Room Rent Shahjadpur, Gulshan Room: 1, Bath: 1 To-let from:
                                November Rent : 8500 BDT Save Property Add to Compare",Dhaka
"Vuter Goli, Dhanmondi",N/A,1,October Rent ,10000,"Sublet Room Rent Vuter Goli, Dhanmondi Room: 1, Bath: 1 To-let from:
                                October Rent : 10000 BDT Save Property Add to Compare",Dhaka
"Basabo, Khilgaon",2,2,October Rent ,12000,"Family Flat Rent Basabo, Khilgaon",Dhaka
"Banasree, Rampura",3,3,October Rent ,20000,"Family House Rent Banasree, Rampura",Dhaka
"East Rampura, Rampura",N/A,1,October Rent ,7500,"Sublet Room Rent East Rampura, Rampura Room: 1, Bath: 1 To-let from:
                                October Rent : 7500 BDT Save Property Add to Compare",Dhaka
"Sector 11, Uttara",1,1,October Rent ,10500,"Bachelor Room Rent Sector 11, Uttara",Dhaka
"Basabo, Khilgaon",2,2,September Rent ,12000,"Family Flat Rent Basabo, Khilgaon",Dhaka
"Faydabad, Daskhinkhan",N/A,1,October Rent ,6500,"Sublet Room Rent Faydabad, Daskhinkhan Room: 1, Bath: 1 To-let from:
                                October Rent : 6500 BDT Save Property Add to Compare",Dhaka
"Middle Badda, Badda",1,1,October Rent ,4100,"Bachelor Seat Rent Middle Badda, Badda",Dhaka
"Rayer Bazar, Mohammadpur",N/A,1,November Rent ,8000,"Sublet Room Rent Rayer Bazar, Mohammadpur Room: 1, Bath: 1 To-let from:
                                November Rent : 8000 BDT Save Property Add to Compare",Dhaka
"Badda DIT Project, Badda",1,1,October Rent ,7700,"Bachelor Room Rent Badda DIT Project, Badda",Dhaka
"Sector 13, Uttara",2,2,November Rent ,20000,"Family Flat Rent Sector 13, Uttara",Dhaka
"Manda, Mugda",2,2,October Rent ,8500,"Family Flat Rent Manda, Mugda",Dhaka
"Azimpur, Lalbag",1,1,October Rent ,2150,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Chankharpul, Bangshal",1,1,October Rent ,4000,"Bachelor Seat Rent Chankharpul, Bangshal",Dhaka
"Lalbag, Dhaka",1,1,October Rent ,1600,"Bachelor Seat Rent Lalbag, Dhaka",Dhaka
"Azimpur, Lalbag",1,1,October Rent ,3500,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Kalabagan, Dhaka",1,1,October Rent ,4000,"Bachelor Seat Rent Kalabagan, Dhaka",Dhaka
"Lalbag, Dhaka",1,1,October Rent ,3650,"Bachelor Seat Rent Lalbag, Dhaka",Dhaka
"Azimpur, Lalbag",1,1,October Rent ,2700,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Sector 10, Uttara",1,1,October Rent ,3150,"Bachelor Seat Rent Sector 10, Uttara",Dhaka
"Uttara, Dhaka",N/A,1,October Rent ,6500,"Sublet Room Rent Uttara, Dhaka Room: 1, Bath: 1 To-let from:
                                October Rent : 6500 BDT Save Property Add to Compare",Dhaka
"Sector 9, Uttara",1,1,October Rent ,4500,"Bachelor Seat Rent Sector 9, Uttara",Dhaka
"Sector 10, Uttara",1,1,October Rent ,4500,"Bachelor Seat Rent Sector 10, Uttara",Dhaka
"Sector 3, Uttara",2,2,October Rent ,25000,"Family Flat Rent Sector 3, Uttara",Dhaka
"Sector 13, Uttara",1,1,October Rent ,8500,"Bachelor Room Rent Sector 13, Uttara",Dhaka
"Sector 13, Uttara",N/A,1,October Rent ,14500,"Sublet Room Rent Sector 13, Uttara Room: 1, Bath: 1 To-let from:
                                October Rent : 14500 BDT Save Property Add to Compare",Dhaka
"Azimpur, Lalbag",1,1,September Rent ,3300,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Uttara, Dhaka",1,1,October Rent ,2200,"Bachelor Seat Rent Uttara, Dhaka",Dhaka
"Naddapara, Daskhinkhan",1,1,September Rent ,6000,"Family House Rent Naddapara, Daskhinkhan",Dhaka
"Mirpur 10, Mirpur",1,1,October Rent ,2600,"Bachelor Seat Rent Mirpur 10, Mirpur",Dhaka
"Dhanmondi, Dhaka",N/A,1,September Rent ,6500,"Sublet Room Rent Dhanmondi, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 6500 BDT Save Property Add to Compare",Dhaka
"Dhaka Uddan Housing, Mohammadpur",1,1,October Rent ,8000,"Family Room Rent Dhaka Uddan Housing, Mohammadpur",Dhaka
"60 Feet Road, Mirpur",1,1,September Rent ,2500,"Bachelor Seat Rent 60 Feet Road, Mirpur",Dhaka
"Mohakhali, Gulshan",1,1,October Rent ,3000,"Bachelor Seat Rent Mohakhali, Gulshan",Dhaka
"Mirpur, Dhaka",N/A,1,September Rent ,7000,"Sublet Room Rent Mirpur, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 7000 BDT Save Property Add to Compare",Dhaka
"Mirpur, Dhaka",1,1,September Rent ,3300,"Bachelor Seat Rent Mirpur, Dhaka",Dhaka
"Mirpur 1, Mirpur",N/A,1,October Rent ,7000,"Sublet Room Rent Mirpur 1, Mirpur Room: 1, Bath: 1 To-let from:
                                October Rent : 7000 BDT Save Property Add to Compare",Dhaka
"60 Feet Road, Mirpur",1,1,September Rent ,1335,"Bachelor Seat Rent 60 Feet Road, Mirpur",Dhaka
"Rampura, Dhaka",N/A,1,October Rent ,6500,"Sublet Room Rent Rampura, Dhaka Room: 1, Bath: 1 To-let from:
                                October Rent : 6500 BDT Save Property Add to Compare",Dhaka
"Daskhinkhan, Dhaka",1,1,September Rent ,3000,"Bachelor Seat Rent Daskhinkhan, Dhaka",Dhaka
"Khilkhet, Dhaka",1,1,November Rent ,4000,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka
"Ashkona, Airport",1,1,September Rent ,2500,"Bachelor Seat Rent Ashkona, Airport",Dhaka
"Kawlar, Daskhinkhan",2,1,November Rent ,8000,"Family House Rent Kawlar, Daskhinkhan",Dhaka
"Faydabad, Daskhinkhan",1,1,October Rent ,6000,"Bachelor Room Rent Faydabad, Daskhinkhan",Dhaka
"Uttarkhan, Dhaka",2,1,September Rent ,6000,"Family Flat Rent Uttarkhan, Dhaka",Dhaka
"Uttarpara, Khilkhet",1,1,October Rent ,2500,"Bachelor Seat Rent Uttarpara, Khilkhet",Dhaka
"Hazipara, Rampura",N/A,1,October Rent ,7000,"Sublet Room Rent Hazipara, Rampura Room: 1, Bath: 1 To-let from:
                                October Rent : 7000 BDT Save Property Add to Compare",Dhaka
"Moghbazar, Ramna",1,1,October Rent ,2500,"Bachelor Seat Rent Moghbazar, Ramna",Dhaka
"Kuril, Vatara",N/A,1,October Rent ,6000,"Sublet Room Rent Kuril, Vatara Room: 1, Bath: 1 To-let from:
                                October Rent : 6000 BDT Save Property Add to Compare",Dhaka
"Mirpur 12, Mirpur",1,1,October Rent ,2100,"Bachelor Seat Rent Mirpur 12, Mirpur",Dhaka
"Mohakhali, Gulshan",N/A,1,October Rent ,3500,"Sublet Seat Rent Mohakhali, Gulshan Seat: 1, Bath: 1 To-let from:
                                October Rent : 3500 BDT Save Property Add to Compare",Dhaka
"Mohakhali, Gulshan",1,1,September Rent ,2500,"Bachelor Seat Rent Mohakhali, Gulshan",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,2700,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Khilkhet, Dhaka",1,1,October Rent ,2608,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka
"Uttarpara, Khilkhet",1,1,October Rent ,2000,"Bachelor Seat Rent Uttarpara, Khilkhet",Dhaka
"Uttarpara, Khilkhet",N/A,1,October Rent ,7500,"Sublet Room Rent Uttarpara, Khilkhet Room: 1, Bath: 1 To-let from:
                                October Rent : 7500 BDT Save Property Add to Compare",Dhaka
"Uttarpara, Khilkhet",1,1,October Rent ,3250,"Bachelor Seat Rent Uttarpara, Khilkhet",Dhaka
"Khilkhet, Dhaka",N/A,1,October Rent ,6500,"Sublet Room Rent Khilkhet, Dhaka Room: 1, Bath: 1 To-let from:
                                October Rent : 6500 BDT Save Property Add to Compare",Dhaka
"Shyamoli, Mohammadpur",1,1,October Rent ,2000,"Bachelor Seat Rent Shyamoli, Mohammadpur",Dhaka
"Sarulia, Demra",2,2,January Rent ,8000,"Family House Rent Sarulia, Demra",Dhaka
"Kawran Bazar, Tejgaon",N/A,1,September Rent ,25000,"Office Room Rent Kawran Bazar, Tejgaon Room: 2, Bath: 1 To-let from:
                                September Rent : 25000 BDT Save Property Add to Compare",Dhaka
"Basabo, Khilgaon",2,2,October Rent ,11000,"Family Unit Rent Basabo, Khilgaon",Dhaka
"Mohammadpur, Dhaka",1,1,October Rent ,6000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka
"Daskhinkhan, Dhaka",3,3,October Rent ,20000,"Family Flat Rent Daskhinkhan, Dhaka",Dhaka
"Mohammadpur, Dhaka",1,1,September Rent ,3000,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka
"Khilkhet, Dhaka",1,1,October Rent ,2500,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka
"Vatara, Dhaka",1,1,October Rent ,2150,"Bachelor Seat Rent Vatara, Dhaka",Dhaka
"Dhanmondi, Dhaka",N/A,1,October Rent ,9000,"Sublet Room Rent Dhanmondi, Dhaka Room: 1, Bath: 1 To-let from:
                                October Rent : 9000 BDT Save Property Add to Compare",Dhaka
"Mohammadpur, Dhaka",3,2,October Rent ,14000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka
"Pirerbag, Mirpur",2,2,October Rent ,10000,"Family Room Rent Pirerbag, Mirpur",Dhaka
"Nikunja 2, Khilkhet",2,2,October Rent ,16000,"Family Flat Rent Nikunja 2, Khilkhet",Dhaka
"Dhanmondi, Dhaka",1,1,October Rent ,2500,"Bachelor Seat Rent Dhanmondi, Dhaka",Dhaka
"Zigatola, Dhanmondi",1,1,October Rent ,4500,"Bachelor Room Rent Zigatola, Dhanmondi",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,10000,"Bachelor Room Rent Nikunja 2, Khilkhet",Dhaka
"Sector 7, Uttara",1,1,October Rent ,4600,"Bachelor Seat Rent Sector 7, Uttara",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,3700,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Banasree, Rampura",1,1,October Rent ,5000,"Bachelor Room Rent Banasree, Rampura",Dhaka
"North Badda, Badda",N/A,1,November Rent ,8000,"Sublet Room Rent North Badda, Badda Room: 1, Bath: 1 To-let from:
                                November Rent : 8000 BDT Save Property Add to Compare",Dhaka
"Mohanagar Project, Rampura",N/A,1,October Rent ,7000,"Sublet Room Rent Mohanagar Project, Rampura Room: 1, Bath: 1 To-let from:
                                October Rent : 7000 BDT Save Property Add to Compare",Dhaka
"Banasree, Rampura",1,1,October Rent ,4000,"Bachelor Seat Rent Banasree, Rampura",Dhaka
"Lalbag, Dhaka",1,1,October Rent ,2600,"Bachelor Seat Rent Lalbag, Dhaka",Dhaka
"Sector 12, Uttara",N/A,1,October Rent ,9000,"Sublet Room Rent Sector 12, Uttara Room: 1, Bath: 1 To-let from:
                                October Rent : 9000 BDT Save Property Add to Compare",Dhaka
"Kuril, Vatara",1,1,October Rent ,4000,"Bachelor Seat Rent Kuril, Vatara",Dhaka
"North Badda, Badda",1,1,October Rent ,5800,"Bachelor Room Rent North Badda, Badda",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,2300,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,3130,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,3250,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,3350,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Khilkhet, Dhaka",1,1,October Rent ,7600,"Bachelor Room Rent Khilkhet, Dhaka",Dhaka
"Uttarpara, Khilkhet",2,2,October Rent ,13000,"Family House Rent Uttarpara, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,6200,"Bachelor Room Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,3000,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,3750,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Khilkhet, Dhaka",1,1,October Rent ,2350,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,4200,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Sector 10, Uttara",1,1,October Rent ,3200,"Bachelor Seat Rent Sector 10, Uttara",Dhaka
"Rayer Bazar, Mohammadpur",1,1,October Rent ,6200,"Bachelor Room Rent Rayer Bazar, Mohammadpur",Dhaka
"Bashundhara R.A, Vatara",3,3,September Rent ,40000,"Family Flat Rent Bashundhara R.A, Vatara",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,3500,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Middle Badda, Badda",3,2,October Rent ,23000,"Family House Rent Middle Badda, Badda",Dhaka
"Aftab Nagar, Badda",1,1,September Rent ,3500,"Bachelor Seat Rent Aftab Nagar, Badda",Dhaka
"West Rampura, Rampura",N/A,1,October Rent ,7000,"Sublet Room Rent West Rampura, Rampura Room: 1, Bath: 1 To-let from:
                                October Rent : 7000 BDT Save Property Add to Compare",Dhaka
"Banasree, Rampura",N/A,1,October Rent ,10500,"Sublet Room Rent Banasree, Rampura Room: 2, Bath: 1 To-let from:
                                October Rent : 10500 BDT Save Property Add to Compare",Dhaka
"Banasree, Rampura",1,1,September Rent ,2000,"Bachelor Seat Rent Banasree, Rampura",Dhaka
"Mirpur 6, Mirpur",1,1,October Rent ,2400,"Bachelor Seat Rent Mirpur 6, Mirpur",Dhaka
"Mirpur 10, Mirpur",N/A,1,October Rent ,6000,"Sublet Room Rent Mirpur 10, Mirpur Room: 1, Bath: 1 To-let from:
                                October Rent : 6000 BDT Save Property Add to Compare",Dhaka
"East Shewrapara, Mirpur",2,1,October Rent ,12000,"Family Flat Rent East Shewrapara, Mirpur",Dhaka
"Shewrapara, Mirpur",1,1,September Rent ,4000,"Bachelor Seat Rent Shewrapara, Mirpur",Dhaka
"Kazipara, Mirpur",1,1,September Rent ,2800,"Bachelor Seat Rent Kazipara, Mirpur",Dhaka
"40 Feet, Mohammadpur",1,1,October Rent ,2500,"Bachelor Seat Rent 40 Feet, Mohammadpur",Dhaka
"Zigatola, Dhanmondi",1,1,September Rent ,2150,"Bachelor Seat Rent Zigatola, Dhanmondi",Dhaka
"Mohammadia Housing Society, Mohammadpur",N/A,1,September Rent ,8000,"Sublet Room Rent Mohammadia Housing Society, Mohammadpur Room: 1, Bath: 1 To-let from:
                                September Rent : 8000 BDT Save Property Add to Compare",Dhaka
"Mohammadpur, Dhaka",1,1,October Rent ,5000,"Bachelor Room Rent Mohammadpur, Dhaka",Dhaka
