Location,Bed,Bath,To-let From,Rent,Title,Region,Month,SubArea,PropertyType
"Zigatola, Dhanmondi",1,1,October Rent ,14500,"Family Flat Rent Zigatola, Dhanmondi",Dhaka,10,Zigatola,Family
"Moghbazar, Ramna",1,1,October Rent ,2700,"Bachelor Seat Rent Moghbazar, Ramna",Dhaka,10,Moghbazar,Bachelor Seat
"Nikunja 2, Khilkhet",1,1,October Rent ,5500,"Bachelor Room Rent Nikunja 2, Khilkhet",Dhaka,10,Nikunja 2,Bachelor Room
"Kuril, Vatara",1,1,September Rent ,3000,"Bachelor Seat Rent Kuril, Vatara",Dhaka,9,Kuril,Bachelor Seat
"Bashundhara R.A, Vatara",1,1,October Rent ,14000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka,10,Bashundhara R.A,Bachelor Room
"Bashundhara R.A, Vatara",1,1,October Rent ,6200,"Bachelor Seat Rent Bashundhara R.A, Vatara",Dhaka,10,Bashundhara R.A,Bachelor Seat
"Dhanmondi 15, Dhanmondi",0,1,October Rent ,9000,"Sublet Room Rent Dhanmondi 15, Dhanmondi Room: 1, Bath: 1 To-let from:
                                October Rent : 9000 BDT Save Property Add to Compare",Dhaka,10,Dhanmondi 15,Sublet
"Kalabagan, Dhaka",0,1,October Rent ,15000,"Sublet Room Rent Kalabagan, Dhaka Room: 1, Bath: 1 To-let from:
                                October Rent : 15000 BDT Save Property Add to Compare",Dhaka,10,Kalabagan,Sublet
"Mohammadpur, Dhaka",1,1,September Rent ,2300,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Bachelor Seat
"Dhanmondi 15, Dhanmondi",1,1,October Rent ,2200,"Bachelor Seat Rent Dhanmondi 15, Dhanmondi",Dhaka,10,Dhanmondi 15,Bachelor Seat
"Azimpur, Lalbag",1,1,October Rent ,3300,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka,10,Azimpur,Bachelor Seat
"Sector 12, Uttara",1,1,October Rent ,4500,"Bachelor Seat Rent Sector 12, Uttara",Dhaka,10,Sector 12,Bachelor Seat
"Sector 11, Uttara",1,1,September Rent ,15000,"Bachelor Room Rent Sector 11, Uttara",Dhaka,9,Sector 11,Bachelor Room
"Mirpur 1, Mirpur",1,1,October Rent ,7500,"Bachelor Room Rent Mirpur 1, Mirpur",Dhaka,10,Mirpur 1,Bachelor Room
"Azampur, Uttara",2,2,September Rent ,9000,"Family Flat Rent Azampur, Uttara",Dhaka,9,Azampur,Family
"Sector 10, Uttara",1,1,October Rent ,2000,"Bachelor Seat Rent Sector 10, Uttara",Dhaka,10,Sector 10,Bachelor Seat
"Sector 14, Uttara",1,1,September Rent ,2500,"Bachelor Seat Rent Sector 14, Uttara",Dhaka,9,Sector 14,Bachelor Seat
"Sector 13, Uttara",1,1,October Rent ,3300,"Bachelor Seat Rent Sector 13, Uttara",Dhaka,10,Sector 13,Bachelor Seat
"Panthapath, Kalabagan",1,1,October Rent ,3260,"Bachelor Seat Rent Panthapath, Kalabagan",Dhaka,10,Panthapath,Bachelor Seat
"Bashundhara R.A, Vatara",1,1,September Rent ,3750,"Bachelor Seat Rent Bashundhara R.A, Vatara",Dhaka,9,Bashundhara R.A,Bachelor Seat
"Mirpur 10, Mirpur",3,3,November Rent ,25000,"Family Flat Rent Mirpur 10, Mirpur",Dhaka,11,Mirpur 10,Family
"East Shewrapara, Mirpur",0,1,October Rent ,7500,"Sublet Room Rent East Shewrapara, Mirpur Room: 1, Bath: 1 To-let from:
                                October Rent : 7500 BDT Save Property Add to Compare",Dhaka,10,East Shewrapara,Sublet
"Mirpur, Dhaka",1,1,October Rent ,2500,"Bachelor Seat Rent Mirpur, Dhaka",Dhaka,10,Mirpur,Bachelor Seat
"West Rampura, Rampura",1,1,October Rent ,1500,"Bachelor Seat Rent West Rampura, Rampura",Dhaka,10,West Rampura,Bachelor Seat
"Rampura, Dhaka",0,1,October Rent ,2200,"Sublet Seat Rent Rampura, Dhaka Seat: 1, Bath: 1 To-let from:
                                October Rent : 2200 BDT Save Property Add to Compare",Dhaka,10,Rampura,Bachelor Seat
"Banasree, Rampura",0,1,October Rent ,5000,"Sublet Room Rent Banasree, Rampura Room: 1, Bath: 1 To-let from:
                                October Rent : 5000 BDT Save Property Add to Compare",Dhaka,10,Banasree,Sublet
"Savar, Dhaka",3,2,October Rent ,5500,"Family Unit Rent Savar, Dhaka",Dhaka,10,Savar,Family
"Naya Paltan, Paltan",1,1,November Rent ,2715,"Bachelor Seat Rent Naya Paltan, Paltan",Dhaka,11,Naya Paltan,Bachelor Seat
"Manda, Mugda",1,1,September Rent ,5700,"Family Flat Rent Manda, Mugda",Dhaka,9,Manda,Family
"Arambag, Motijheel",1,1,October Rent ,3250,"Bachelor Seat Rent Arambag, Motijheel",Dhaka,10,Arambag,Bachelor Seat
"Maniknagar, Mugda",3,2,October Rent ,16000,"Family Flat Rent Maniknagar, Mugda",Dhaka,10,Maniknagar,Family
"Uttara, Dhaka",3,3,October Rent ,19000,"Family Flat Rent Uttara, Dhaka",Dhaka,10,Uttara,Family
"Gandaria, Dhaka",3,2,October Rent ,25000,"Family House Rent Gandaria, Dhaka",Dhaka,10,Gandaria,Family
"Malibag, Shahjahanpur",1,1,September Rent ,2600,"Bachelor Seat Rent Malibag, Shahjahanpur",Dhaka,9,Malibag,Bachelor Seat
"Bashundhara R.A, Vatara",3,3,September Rent ,27000,"Family Flat Rent Bashundhara R.A, Vatara",Dhaka,9,Bashundhara R.A,Family
"Bashundhara R.A, Vatara",3,3,October Rent ,22000,"Family Flat Rent Bashundhara R.A, Vatara",Dhaka,10,Bashundhara R.A,Family
"Bashundhara R.A, Vatara",1,1,October Rent ,8000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka,10,Bashundhara R.A,Bachelor Room
"Bashundhara R.A, Vatara",1,1,September Rent ,4700,"Bachelor Seat Rent Bashundhara R.A, Vatara",Dhaka,9,Bashundhara R.A,Bachelor Seat
"Manda, Mugda",1,1,September Rent ,7000,"Family Flat Rent Manda, Mugda",Dhaka,9,Manda,Family
"Mohakhali, Gulshan",1,1,October Rent ,3200,"Bachelor Seat Rent Mohakhali, Gulshan",Dhaka,10,Mohakhali,Bachelor Seat
"Komlapur, Motijheel",1,1,September Rent ,3000,"Bachelor Seat Rent Komlapur, Motijheel",Dhaka,9,Komlapur,Bachelor Seat
"Motijheel, Dhaka",1,1,September Rent ,8500,"Bachelor Room Rent Motijheel, Dhaka",Dhaka,9,Motijheel,Bachelor Room
"Komlapur, Motijheel",1,1,September Rent ,3800,"Bachelor Seat Rent Komlapur, Motijheel",Dhaka,9,Komlapur,Bachelor Seat
"Amligola, Lalbag",0,1,November Rent ,6500,"Sublet Room Rent Amligola, Lalbag Room: 1, Bath: 1 To-let from:
                                November Rent : 6500 BDT Save Property Add to Compare",Dhaka,11,Amligola,Sublet
"Mirpur 13, Mirpur",1,1,October Rent ,2900,"Bachelor Seat Rent Mirpur 13, Mirpur",Dhaka,10,Mirpur 13,Bachelor Seat
"60 Feet Road, Mirpur",0,1,October Rent ,7000,"Sublet Room Rent 60 Feet Road, Mirpur Room: 1, Bath: 1 To-let from:
                                October Rent : 7000 BDT Save Property Add to Compare",Dhaka,10,60 Feet Road,Sublet
"Badda, Dhaka",0,1,October Rent ,11000,"Sublet Room Rent Badda, Dhaka Room: 1, Bath: 1 To-let from:
                                October Rent : 11000 BDT Save Property Add to Compare",Dhaka,10,Badda,Sublet
"Chandrima Model Town, Mohammadpur",3,3,October Rent ,14000,"Family Flat Rent Chandrima Model Town, Mohammadpur",Dhaka,10,Chandrima Model Town,Family
"Bosila, Mohammadpur",1,1,October Rent ,6200,"Bachelor Room Rent Bosila, Mohammadpur",Dhaka,10,Bosila,Bachelor Room
"Mohammadpur, Dhaka",1,1,October Rent ,2500,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,10,Mohammadpur,Bachelor Seat
"Mohammadpur, Dhaka",1,1,September Rent ,3800,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Bachelor Seat
"Mohammadpur, Dhaka",1,1,October Rent ,3500,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,10,Mohammadpur,Bachelor Seat
"Future Town Housing, Mohammadpur",0,1,September Rent ,6000,"Sublet Room Rent Future Town Housing, Mohammadpur Room: 1, Bath: 1 To-let from:
                                September Rent : 6000 BDT Save Property Add to Compare",Dhaka,9,Future Town Housing,Sublet
"Mohammadpur, Dhaka",1,1,October Rent ,3700,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,10,Mohammadpur,Bachelor Seat
"Mohammadpur, Dhaka",1,1,September Rent ,3400,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Bachelor Seat
"Dhaka Housing, Adabor",2,2,October Rent ,17000,"Family Flat Rent Dhaka Housing, Adabor",Dhaka,10,Dhaka Housing,Family
"Nabi Nagar Housing, Mohammadpur",1,1,September Rent ,2800,"Bachelor Seat Rent Nabi Nagar Housing, Mohammadpur",Dhaka,9,Nabi Nagar Housing,Bachelor Seat
"Mohammadpur, Dhaka",1,1,September Rent ,7500,"Bachelor Room Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Bachelor Room
"Bosila, Mohammadpur",0,1,October Rent ,6500,"Sublet Room Rent Bosila, Mohammadpur Room: 1, Bath: 1 To-let from:
                                October Rent : 6500 BDT Save Property Add to Compare",Dhaka,10,Bosila,Sublet
"Dhaka Housing, Adabor",3,4,September Rent ,26000,"Family House Rent Dhaka Housing, Adabor",Dhaka,9,Dhaka Housing,Family
"Mohammadpur, Dhaka",1,1,September Rent ,2500,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Bachelor Seat
"Noboudoy Housing, Mohammadpur",1,1,October Rent ,6000,"Bachelor Room Rent Noboudoy Housing, Mohammadpur",Dhaka,10,Noboudoy Housing,Bachelor Room
"Faydabad, Daskhinkhan",1,1,September Rent ,3000,"Bachelor Seat Rent Faydabad, Daskhinkhan",Dhaka,9,Faydabad,Bachelor Seat
"Middle Badda, Badda",1,1,October Rent ,2600,"Bachelor Seat Rent Middle Badda, Badda",Dhaka,10,Middle Badda,Bachelor Seat
"Keraniganj, Dhaka",0,1,September Rent ,4500,"Sublet Room Rent Keraniganj, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 4500 BDT Save Property Add to Compare",Dhaka,9,Keraniganj,Sublet
"Mohammadpur, Dhaka",2,2,September Rent ,12000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Family
"Pallabi, Dhaka",1,1,October Rent ,3500,"Bachelor Seat Rent Pallabi, Dhaka",Dhaka,10,Pallabi,Bachelor Seat
"Mohammadpur, Dhaka",2,2,September Rent ,15000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Family
"Mohammadpur, Dhaka",2,2,October Rent ,27000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka,10,Mohammadpur,Family
"Khilkhet, Dhaka",1,1,October Rent ,4000,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka,10,Khilkhet,Bachelor Seat
"Mugda, Dhaka",2,1,October Rent ,8500,"Family Flat Rent Mugda, Dhaka",Dhaka,10,Mugda,Family
"Pallabi, Dhaka",1,1,September Rent ,10500,"Bachelor Room Rent Pallabi, Dhaka",Dhaka,9,Pallabi,Bachelor Room
"Dhanmondi, Dhaka",1,1,October Rent ,3000,"Bachelor Seat Rent Dhanmondi, Dhaka",Dhaka,10,Dhanmondi,Bachelor Seat
"Dhanmondi, Dhaka",1,1,October Rent ,9000,"Bachelor Room Rent Dhanmondi, Dhaka",Dhaka,10,Dhanmondi,Bachelor Room
"Sector 11, Uttara",1,1,October Rent ,9000,"Bachelor Seat Rent Sector 11, Uttara",Dhaka,10,Sector 11,Bachelor Seat
"Mugda, Dhaka",2,2,September Rent ,9000,"Family Flat Rent Mugda, Dhaka",Dhaka,9,Mugda,Family
"Badda, Dhaka",1,1,October Rent ,6000,"Bachelor Seat Rent Badda, Dhaka",Dhaka,10,Badda,Bachelor Seat
"Shewrapara, Mirpur",1,1,October Rent ,6000,"Bachelor Room Rent Shewrapara, Mirpur",Dhaka,10,Shewrapara,Bachelor Room
"Mohammadpur, Dhaka",3,3,October Rent ,13000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka,10,Mohammadpur,Family
"Lalbag, Dhaka",1,1,October Rent ,2400,"Bachelor Seat Rent Lalbag, Dhaka",Dhaka,10,Lalbag,Bachelor Seat
"East Rampura, Rampura",1,1,September Rent ,6500,"Bachelor Room Rent East Rampura, Rampura",Dhaka,9,East Rampura,Bachelor Room
"Banasree, Rampura",1,1,September Rent ,2350,"Bachelor Seat Rent Banasree, Rampura",Dhaka,9,Banasree,Bachelor Seat
"Shahjadpur, Gulshan",0,1,November Rent ,8500,"Sublet Room Rent Shahjadpur, Gulshan Room: 1, Bath: 1 To-let from:
                                November Rent : 8500 BDT Save Property Add to Compare",Dhaka,11,Shahjadpur,Sublet
"Vuter Goli, Dhanmondi",0,1,October Rent ,10000,"Sublet Room Rent Vuter Goli, Dhanmondi Room: 1, Bath: 1 To-let from:
                                October Rent : 10000 BDT Save Property Add to Compare",Dhaka,10,Vuter Goli,Sublet
"Basabo, Khilgaon",2,2,October Rent ,12000,"Family Flat Rent Basabo, Khilgaon",Dhaka,10,Basabo,Family
"Banasree, Rampura",3,3,October Rent ,20000,"Family House Rent Banasree, Rampura",Dhaka,10,Banasree,Family
"East Rampura, Rampura",0,1,October Rent ,7500,"Sublet Room Rent East Rampura, Rampura Room: 1, Bath: 1 To-let from:
                                October Rent : 7500 BDT Save Property Add to Compare",Dhaka,10,East Rampura,Sublet
"Sector 11, Uttara",1,1,October Rent ,10500,"Bachelor Room Rent Sector 11, Uttara",Dhaka,10,Sector 11,Bachelor Room
"Basabo, Khilgaon",2,2,September Rent ,12000,"Family Flat Rent Basabo, Khilgaon",Dhaka,9,Basabo,Family
"Faydabad, Daskhinkhan",0,1,October Rent ,6500,"Sublet Room Rent Faydabad, Daskhinkhan Room: 1, Bath: 1 To-let from:
                                October Rent : 6500 BDT Save Property Add to Compare",Dhaka,10,Faydabad,Sublet
"Middle Badda, Badda",1,1,October Rent ,4100,"Bachelor Seat Rent Middle Badda, Badda",Dhaka,10,Middle Badda,Bachelor Seat
"Rayer Bazar, Mohammadpur",0,1,November Rent ,8000,"Sublet Room Rent Rayer Bazar, Mohammadpur Room: 1, Bath: 1 To-let from:
                                November Rent : 8000 BDT Save Property Add to Compare",Dhaka,11,Rayer Bazar,Sublet
"Badda DIT Project, Badda",1,1,October Rent ,7700,"Bachelor Room Rent Badda DIT Project, Badda",Dhaka,10,Badda DIT Project,Bachelor Room
"Sector 13, Uttara",2,2,November Rent ,20000,"Family Flat Rent Sector 13, Uttara",Dhaka,11,Sector 13,Family
"Manda, Mugda",2,2,October Rent ,8500,"Family Flat Rent Manda, Mugda",Dhaka,10,Manda,Family
"Azimpur, Lalbag",1,1,October Rent ,2150,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka,10,Azimpur,Bachelor Seat
"Chankharpul, Bangshal",1,1,October Rent ,4000,"Bachelor Seat Rent Chankharpul, Bangshal",Dhaka,10,Chankharpul,Bachelor Seat
"Lalbag, Dhaka",1,1,October Rent ,1600,"Bachelor Seat Rent Lalbag, Dhaka",Dhaka,10,Lalbag,Bachelor Seat
"Azimpur, Lalbag",1,1,October Rent ,3500,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka,10,Azimpur,Bachelor Seat
"Kalabagan, Dhaka",1,1,October Rent ,4000,"Bachelor Seat Rent Kalabagan, Dhaka",Dhaka,10,Kalabagan,Bachelor Seat
"Lalbag, Dhaka",1,1,October Rent ,3650,"Bachelor Seat Rent Lalbag, Dhaka",Dhaka,10,Lalbag,Bachelor Seat
"Azimpur, Lalbag",1,1,October Rent ,2700,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka,10,Azimpur,Bachelor Seat
"Sector 10, Uttara",1,1,October Rent ,3150,"Bachelor Seat Rent Sector 10, Uttara",Dhaka,10,Sector 10,Bachelor Seat
"Uttara, Dhaka",0,1,October Rent ,6500,"Sublet Room Rent Uttara, Dhaka Room: 1, Bath: 1 To-let from:
                                October Rent : 6500 BDT Save Property Add to Compare",Dhaka,10,Uttara,Sublet
"Sector 9, Uttara",1,1,October Rent ,4500,"Bachelor Seat Rent Sector 9, Uttara",Dhaka,10,Sector 9,Bachelor Seat
"Sector 10, Uttara",1,1,October Rent ,4500,"Bachelor Seat Rent Sector 10, Uttara",Dhaka,10,Sector 10,Bachelor Seat
"Sector 3, Uttara",2,2,October Rent ,25000,"Family Flat Rent Sector 3, Uttara",Dhaka,10,Sector 3,Family
"Sector 13, Uttara",1,1,October Rent ,8500,"Bachelor Room Rent Sector 13, Uttara",Dhaka,10,Sector 13,Bachelor Room
"Sector 13, Uttara",0,1,October Rent ,14500,"Sublet Room Rent Sector 13, Uttara Room: 1, Bath: 1 To-let from:
                                October Rent : 14500 BDT Save Property Add to Compare",Dhaka,10,Sector 13,Sublet
"Azimpur, Lalbag",1,1,September Rent ,3300,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka,9,Azimpur,Bachelor Seat
"Uttara, Dhaka",1,1,October Rent ,2200,"Bachelor Seat Rent Uttara, Dhaka",Dhaka,10,Uttara,Bachelor Seat
"Naddapara, Daskhinkhan",1,1,September Rent ,6000,"Family House Rent Naddapara, Daskhinkhan",Dhaka,9,Naddapara,Family
"Mirpur 10, Mirpur",1,1,October Rent ,2600,"Bachelor Seat Rent Mirpur 10, Mirpur",Dhaka,10,Mirpur 10,Bachelor Seat
"Dhanmondi, Dhaka",0,1,September Rent ,6500,"Sublet Room Rent Dhanmondi, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 6500 BDT Save Property Add to Compare",Dhaka,9,Dhanmondi,Sublet
"Dhaka Uddan Housing, Mohammadpur",1,1,October Rent ,8000,"Family Room Rent Dhaka Uddan Housing, Mohammadpur",Dhaka,10,Dhaka Uddan Housing,Family
"60 Feet Road, Mirpur",1,1,September Rent ,2500,"Bachelor Seat Rent 60 Feet Road, Mirpur",Dhaka,9,60 Feet Road,Bachelor Seat
"Mohakhali, Gulshan",1,1,October Rent ,3000,"Bachelor Seat Rent Mohakhali, Gulshan",Dhaka,10,Mohakhali,Bachelor Seat
"Mirpur, Dhaka",0,1,September Rent ,7000,"Sublet Room Rent Mirpur, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 7000 BDT Save Property Add to Compare",Dhaka,9,Mirpur,Sublet
"Mirpur, Dhaka",1,1,September Rent ,3300,"Bachelor Seat Rent Mirpur, Dhaka",Dhaka,9,Mirpur,Bachelor Seat
"Mirpur 1, Mirpur",0,1,October Rent ,7000,"Sublet Room Rent Mirpur 1, Mirpur Room: 1, Bath: 1 To-let from:
                                October Rent : 7000 BDT Save Property Add to Compare",Dhaka,10,Mirpur 1,Sublet
"60 Feet Road, Mirpur",1,1,September Rent ,1335,"Bachelor Seat Rent 60 Feet Road, Mirpur",Dhaka,9,60 Feet Road,Bachelor Seat
"Rampura, Dhaka",0,1,October Rent ,6500,"Sublet Room Rent Rampura, Dhaka Room: 1, Bath: 1 To-let from:
                                October Rent : 6500 BDT Save Property Add to Compare",Dhaka,10,Rampura,Sublet
"Daskhinkhan, Dhaka",1,1,September Rent ,3000,"Bachelor Seat Rent Daskhinkhan, Dhaka",Dhaka,9,Daskhinkhan,Bachelor Seat
"Khilkhet, Dhaka",1,1,November Rent ,4000,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka,11,Khilkhet,Bachelor Seat
"Ashkona, Airport",1,1,September Rent ,2500,"Bachelor Seat Rent Ashkona, Airport",Dhaka,9,Ashkona,Bachelor Seat
"Kawlar, Daskhinkhan",2,1,November Rent ,8000,"Family House Rent Kawlar, Daskhinkhan",Dhaka,11,Kawlar,Family
"Faydabad, Daskhinkhan",1,1,October Rent ,6000,"Bachelor Room Rent Faydabad, Daskhinkhan",Dhaka,10,Faydabad,Bachelor Room
"Uttarkhan, Dhaka",2,1,September Rent ,6000,"Family Flat Rent Uttarkhan, Dhaka",Dhaka,9,Uttarkhan,Family
"Uttarpara, Khilkhet",1,1,October Rent ,2500,"Bachelor Seat Rent Uttarpara, Khilkhet",Dhaka,10,Uttarpara,Bachelor Seat
"Hazipara, Rampura",0,1,October Rent ,7000,"Sublet Room Rent Hazipara, Rampura Room: 1, Bath: 1 To-let from:
                                October Rent : 7000 BDT Save Property Add to Compare",Dhaka,10,Hazipara,Sublet
"Moghbazar, Ramna",1,1,October Rent ,2500,"Bachelor Seat Rent Moghbazar, Ramna",Dhaka,10,Moghbazar,Bachelor Seat
"Kuril, Vatara",0,1,October Rent ,6000,"Sublet Room Rent Kuril, Vatara Room: 1, Bath: 1 To-let from:
                                October Rent : 6000 BDT Save Property Add to Compare",Dhaka,10,Kuril,Sublet
"Mirpur 12, Mirpur",1,1,October Rent ,2100,"Bachelor Seat Rent Mirpur 12, Mirpur",Dhaka,10,Mirpur 12,Bachelor Seat
"Mohakhali, Gulshan",0,1,October Rent ,3500,"Sublet Seat Rent Mohakhali, Gulshan Seat: 1, Bath: 1 To-let from:
                                October Rent : 3500 BDT Save Property Add to Compare",Dhaka,10,Mohakhali,Bachelor Seat
"Mohakhali, Gulshan",1,1,September Rent ,2500,"Bachelor Seat Rent Mohakhali, Gulshan",Dhaka,9,Mohakhali,Bachelor Seat
"Nikunja 2, Khilkhet",1,1,October Rent ,2700,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka,10,Nikunja 2,Bachelor Seat
"Khilkhet, Dhaka",1,1,October Rent ,2608,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka,10,Khilkhet,Bachelor Seat
"Uttarpara, Khilkhet",1,1,October Rent ,2000,"Bachelor Seat Rent Uttarpara, Khilkhet",Dhaka,10,Uttarpara,Bachelor Seat
"Uttarpara, Khilkhet",0,1,October Rent ,7500,"Sublet Room Rent Uttarpara, Khilkhet Room: 1, Bath: 1 To-let from:
                                October Rent : 7500 BDT Save Property Add to Compare",Dhaka,10,Uttarpara,Sublet
"Uttarpara, Khilkhet",1,1,October Rent ,3250,"Bachelor Seat Rent Uttarpara, Khilkhet",Dhaka,10,Uttarpara,Bachelor Seat
"Khilkhet, Dhaka",0,1,October Rent ,6500,"Sublet Room Rent Khilkhet, Dhaka Room: 1, Bath: 1 To-let from:
                                October Rent : 6500 BDT Save Property Add to Compare",Dhaka,10,Khilkhet,Sublet
"Shyamoli, Mohammadpur",1,1,October Rent ,2000,"Bachelor Seat Rent Shyamoli, Mohammadpur",Dhaka,10,Shyamoli,Bachelor Seat
"Sarulia, Demra",2,2,January Rent ,8000,"Family House Rent Sarulia, Demra",Dhaka,1,Sarulia,Family
"Kawran Bazar, Tejgaon",0,1,September Rent ,25000,"Office Room Rent Kawran Bazar, Tejgaon Room: 2, Bath: 1 To-let from:
                                September Rent : 25000 BDT Save Property Add to Compare",Dhaka,9,Kawran Bazar,Room
"Basabo, Khilgaon",2,2,October Rent ,11000,"Family Unit Rent Basabo, Khilgaon",Dhaka,10,Basabo,Family
"Mohammadpur, Dhaka",1,1,October Rent ,6000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka,10,Mohammadpur,Family
"Daskhinkhan, Dhaka",3,3,October Rent ,20000,"Family Flat Rent Daskhinkhan, Dhaka",Dhaka,10,Daskhinkhan,Family
"Mohammadpur, Dhaka",1,1,September Rent ,3000,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Bachelor Seat
"Khilkhet, Dhaka",1,1,October Rent ,2500,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka,10,Khilkhet,Bachelor Seat
"Vatara, Dhaka",1,1,October Rent ,2150,"Bachelor Seat Rent Vatara, Dhaka",Dhaka,10,Vatara,Bachelor Seat
"Dhanmondi, Dhaka",0,1,October Rent ,9000,"Sublet Room Rent Dhanmondi, Dhaka Room: 1, Bath: 1 To-let from:
                                October Rent : 9000 BDT Save Property Add to Compare",Dhaka,10,Dhanmondi,Sublet
"Mohammadpur, Dhaka",3,2,October Rent ,14000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka,10,Mohammadpur,Family
"Pirerbag, Mirpur",2,2,October Rent ,10000,"Family Room Rent Pirerbag, Mirpur",Dhaka,10,Pirerbag,Family
"Nikunja 2, Khilkhet",2,2,October Rent ,16000,"Family Flat Rent Nikunja 2, Khilkhet",Dhaka,10,Nikunja 2,Family
"Dhanmondi, Dhaka",1,1,October Rent ,2500,"Bachelor Seat Rent Dhanmondi, Dhaka",Dhaka,10,Dhanmondi,Bachelor Seat
